Enter a file name
D:\Wesley\Downloads\alice.txt -i
, 62
altered, 1
heavy, 2
timidly, 9
threelegged, 2
hoping, 3
printed, 1
afford, 1
field, 1
lacie, 1
messages, 2
dog, 2
upset, 3
duchesss, 3
unpleasant, 2
diligently, 1
goodbye, 1
glanced, 1
beor, 1
whereupon, 1
summer, 2
mad, 14
known, 1
nurse, 2
herald, 1
puppys, 1
man, 5
stand, 6
waynever, 1
together, 9
knows, 2
twenty, 1
may, 13
listeners, 1
within, 1
could, 77
bent, 1
favourite, 1
able, 1
crouched, 1
spectacles, 3
evening, 2
feet, 19
sulkily, 2
instance, 3
use, 18
subject, 6
feel, 8
banquet, 1
terribly, 1
nursing, 3
trampled, 1
liked, 6
smile, 2
confused, 4
fine, 2
find, 21
peering, 1
hearthrug, 1
likes, 1
waste, 1
cries, 1
cheerfully, 1
turtle, 56
sooner, 2
pleasant, 1
difficult, 2
dry, 8
sort, 20
seriously, 1
interrupted, 9
breeze, 1
picking, 2
friends, 2
heart, 2
labelled, 1
ringlets, 2
forget, 2
directions, 3
true, 4
leaning, 2
position, 2
present, 3
curtain, 1
softly, 1
laughter, 1
since, 4
romeno, 1
handsome, 1
soup, 18
gryphon, 55
belong, 1
best, 12
mustardmine, 1
nonsense, 7
breath, 4
uncommon, 1
hour, 2
advise, 1
repeat, 7
smoking, 2
alongcatch, 1
backsomersault, 1
suppressed, 4
make, 26
met, 3
heard, 30
falling, 2
certainly, 14
execution, 2
lullaby, 1
waving, 5
exactly, 8
rapidly, 2
master, 3
orange, 1
fright, 2
extraordinary, 2
witness, 10
riper, 1
meekly, 2
tougher, 1
puzzle, 1
pulling, 1
drawling, 1
coming, 9
splashed, 1
doubtfully, 2
powdered, 1
annoy, 1
feared, 1
woke, 1
about, 94
righthand, 2
trims, 1
scream, 2
giddy, 2
sorrow, 2
goodnaturedly, 1
trees, 7
crash, 2
bank, 2
character, 1
procession, 5
sizes, 1
meaning, 8
moreas, 1
ignorant, 1
above, 3
drawing, 1
fire, 3
dutchess, 1
stick, 4
adventures, 6
moderate, 1
height, 5
singing, 2
scratching, 1
myself, 7
invent, 1
questionshow, 1
received, 1
wonderful, 2
execute, 1
something, 18
pointed, 1
twentyfour, 2
rude, 2
boxed, 1
highest, 1
impatiently, 5
animal, 1
except, 4
shower, 2
shared, 1
nevertheless, 1
fact, 8
latitude, 2
respectable, 1
knocked, 1
believe, 9
long, 32
fell, 6
remember, 14
pieces, 3
into, 67
unless, 2
butterfly, 1
boots, 4
grumbled, 1
free, 3
ought, 14
honour, 4
twinkle, 8
stiff, 1
middle, 7
idiotic, 1
bother, 1
expression, 1
coils, 1
though, 12
childhood, 1
aftertime, 1
many, 12
people, 13
stay, 5
actually, 1
appear, 2
face, 14
oldest, 1
afraid, 12
fish, 3
open, 7
treat, 1
seven, 6
expressing, 1
downhere, 1
exclamation, 1
inside, 2
locks, 2
melancholy, 6
whenever, 1
leaves, 6
bark, 2
roughly, 1
wood, 7
five, 8
riddles, 1
miceoh, 1
surprise, 5
distancebut, 1
maps, 1
impatient, 1
dropping, 1
quarrelling, 2
felt, 23
invited, 2
lobster, 7
wont, 24
please, 19
finding, 3
conquest, 1
look, 28
fits, 1
breadandbutter, 5
flying, 1
guessed, 3
judging, 1
staring, 3
yawning, 2
sighing, 3
thatll, 1
kills, 1
allow, 3
loudly, 3
soothing, 1
reasons, 1
knock, 1
itsits, 1
father, 6
drawlingthe, 1
jumped, 6
proper, 3
rule, 5
condemn, 1
thatit, 1
ifif, 1
beast, 1
vegetable, 1
speed, 1
bats, 4
recognised, 1
common, 1
interest, 1
rabbitspat, 1
themselves, 3
wants, 2
wonder, 18
sleepy, 5
sneeze, 2
isbe, 1
every, 12
canary, 1
answered, 4
again, 82
growls, 1
mary, 4
histories, 1
indeed, 16
sands, 1
eagerly, 8
disagree, 1
disgust, 1
mark, 3
folding, 1
axes, 1
voiceshold, 1
whole, 13
sharks, 1
stamping, 2
fair, 1
elsebut, 1
shillings, 1
grammar, 1
lost, 3
yelled, 1
games, 2
otherbill, 1
obstacle, 1
slate, 2
attempts, 1
comfits, 2
still, 13
worm, 1
work, 8
lose, 1
reduced, 1
dressed, 1
cattle, 1
agree, 2
underneath, 1
doors, 2
itself, 14
gardenhow, 1
books, 1
knowing, 2
among, 12
outoftheway, 3
lory, 7
dormouse, 39
wore, 1
word, 10
love, 3
flock, 1
tongue, 4
hoped, 1
iii, 1
forehead, 2
enjoy, 1
secret, 1
birds, 9
iim, 1
ourselves, 1
pictures, 4
theyyouve, 1
throwing, 2
across, 5
fall, 7
frontispiece, 1
ear, 6
ridges, 1
writing, 4
rushed, 1
eat, 18
carroll, 1
leastat, 1
boldly, 1
thinand, 1
believed, 1
flurry, 1
pictured, 1
wherever, 2
finger, 5
loud, 6
swallow, 1
caused, 2
poolshe, 1
crashnow, 1
rattling, 2
haste, 1
nice, 6
sends, 1
opinion, 1
altogether, 5
appearance, 1
soldier, 1
wings, 1
thump, 2
cutting, 1
marchjust, 1
cannot, 1
forgot, 2
upsetting, 1
first, 49
insult, 1
voice, 47
existence, 1
appealed, 1
clearly, 1
axis, 1
graceful, 1
tight, 1
frog, 2
spite, 1
subdued, 1
poky, 1
from, 36
expecting, 3
spell, 1
caucusrace, 3
pebbles, 2
bottom, 4
ill, 33
finished, 12
coward, 1
fading, 1
squeezed, 1
lizards, 1
sulky, 3
speaker, 1
seems, 5
dinah, 11
death, 1
advice, 2
winter, 1
eel, 1
doori, 1
sternly, 1
holding, 3
moments, 2
paper, 4
walking, 5
knuckles, 1
clubs, 1
listening, 3
grave, 3
advantage, 3
dainties, 1
ink, 1
tricks, 1
sisters, 2
instead, 3
rush, 2
whispered, 5
itonce, 1
dears, 3
crept, 1
stolen, 1
round, 41
gravy, 1
irritated, 1
slightest, 1
pope, 1
vague, 1
hands, 12
egg, 1
importantunimportant, 1
desperate, 1
year, 2
thimble, 4
leading, 1
branch, 1
mousea, 1
setting, 1
favoured, 1
music, 3
saves, 1
poor, 27
gallons, 1
vii, 1
neat, 1
near, 15
schoolroom, 1
because, 15
silence, 14
sorts, 3
moving, 3
ran, 16
invented, 1
grief, 1
ashamed, 2
marched, 1
excellent, 2
unlocking, 1
fairly, 1
pool, 10
handwriting, 1
raw, 1
hatters, 2
fancying, 1
crossly, 1
shaking, 3
hurried, 11
planning, 1
persons, 1
charges, 1
stop, 6
grazed, 1
guess, 3
mouseo, 1
happening, 1
mouses, 1
folded, 3
consented, 1
isnt, 7
dormouses, 1
weeks, 1
throat, 2
nile, 1
least, 8
wouldnt, 13
immediately, 3
sleep, 6
swimming, 2
hungry, 3
gazing, 1
stretched, 2
retire, 1
variations, 1
mousetraps, 1
close, 13
himit, 1
curled, 2
linked, 1
toes, 3
flavour, 1
fourteenth, 1
learn, 7
pulled, 1
growled, 1
steamengine, 1
signify, 1
neck, 7
teaparty, 2
ridiculous, 1
fast, 4
executions, 2
trials, 4
calling, 1
andoh, 2
nine, 5
addressing, 1
couple, 1
offended, 10
eager, 3
evidence, 7
moved, 5
fortunately, 1
red, 2
whats, 5
act, 1
cupboards, 2
leave, 9
duck, 4
repeating, 3
finish, 5
helped, 1
knave, 9
signifies, 1
cakes, 3
serpent, 9
forepaws, 1
ada, 1
faint, 1
dreaming, 1
educationsin, 1
wrote, 3
shade, 1
its, 111
often, 5
wrapping, 1
newspapers, 1
gather, 1
helpless, 1
respect, 1
sobbing, 3
kindly, 2
seaography, 1
isoh, 2
ache, 1
shell, 3
skyrocket, 1
yawned, 2
begged, 1
loose, 1
therefore, 1
panther, 3
crawling, 1
indignant, 1
hardly, 12
useful, 2
rises, 1
ornamented, 2
turtles, 4
chimney, 5
rathole, 1
scrambling, 1
smallest, 2
complained, 1
soldiers, 10
morals, 1
miles, 3
desperately, 1
prevent, 1
undo, 1
brighteyed, 1
sorry, 1
ive, 34
end, 18
bills, 3
inkstand, 1
lines, 1
lizard, 5
magpie, 1
mistake, 3
pour, 1
rich, 1
label, 2
