Enter a file name
D:\Wesley\Downloads\alice.txt
, 62
slightest, 1
hands, 12
egg, 1
desperate, 1
year, 2
thimble, 4
leading, 1
Repeat, 1
Itsits, 1
YOUD, 1
branch, 1
WHATEVER, 1
Everything, 1
THINK, 3
music, 3
saves, 1
gallons, 1
slateOh, 1
neat, 1
YOUR, 7
near, 14
because, 14
silence, 11
moving, 3
marched, 1
fancying, 1
crossly, 1
planning, 1
AT, 1
stop, 5
guess, 3
happening, 1
Where, 4
folded, 3
consented, 1
BE, 1
WATCH, 1
Ah, 5
least, 8
UNimportant, 2
wouldnt, 12
immediately, 3
An, 5
HATED, 1
The, 107
sleep, 6
swimming, 2
hungry, 3
gazing, 1
As, 16
At, 9
stretched, 2
variations, 1
mousetraps, 1
himit, 1
toes, 3
Be, 1
flavour, 1
learn, 7
growled, 1
steamengine, 1
BOOTS, 1
neck, 7
ridiculous, 1
By, 3
andoh, 2
Tis, 2
Take, 3
addressing, 1
eager, 3
evidence, 6
whats, 3
cupboards, 2
leave, 7
signifies, 1
fancyWhos, 1
cakes, 3
serpent, 6
forepaws, 1
faint, 1
educationsin, 1
wrote, 3
shade, 1
often, 5
Do, 13
newspapers, 1
gather, 1
sobbing, 3
kindly, 2
skyrocket, 1
Little, 1
loose, 1
crawling, 1
indignant, 1
hardly, 11
Footman, 7
useful, 2
rises, 1
turtles, 2
chimney, 5
rathole, 1
complained, 1
desperately, 1
end, 17
lines, 1
mistake, 3
Tale, 1
rich, 1
WITH, 1
slippery, 1
contempt, 1
Mouse, 29
family, 1
happens, 5
Hold, 3
HE, 4
yetits, 1
called, 15
shouldnt, 5
told, 6
Go, 3
turns, 3
moral, 8
tried, 19
fishand, 1
deepest, 1
youare, 1
brave, 1
narrow, 2
judge, 4
darkness, 1
He, 19
IF, 2
II, 2
shape, 1
IM, 2
IN, 2
Hm, 1
uglify, 1
refreshments, 1
IS, 8
IT, 4
IV, 1
Just, 7
IX, 1
Some, 2
hedgehog, 7
camomile, 1
Too, 1
EVEN, 1
Id, 11
crossed, 3
If, 16
EVER, 1
Im, 55
tone, 40
In, 11
against, 9
Is, 3
It, 40
holiday, 1
asked, 17
encourage, 1
Elsie, 1
share, 1
punished, 1
puffed, 1
OUTSIDE, 1
elegant, 1
thoroughly, 2
sharp, 6
rosetree, 4
awfully, 1
isTake, 1
Soon, 1
shake, 1
est, 1
hoarsely, 1
tops, 1
themall, 1
trial, 7
ME, 7
tucked, 3
entrance, 1
nasty, 1
took, 23
new, 4
catching, 2
below, 3
remedies, 1
yelp, 1
shall, 23
brass, 1
neednt, 3
Ma, 1
themand, 2
NO, 1
Grief, 1
reaching, 1
flamingoes, 2
dreamy, 1
My, 3
around, 3
running, 8
yetand, 1
grunt, 1
OF, 3
whispers, 1
chose, 2
France, 1
declared, 1
No, 18
BUSY, 1
Explain, 2
Mercia, 2
pencil, 1
guineapig, 2
youall, 1
Tut, 1
thenBills, 1
shant, 5
Of, 11
Oh, 32
whisper, 3
Let, 10
Perhaps, 3
muttering, 3
teases, 1
On, 4
toto, 1
merrily, 1
Or, 1
ring, 2
Ou, 1
farther, 1
angrily, 9
decided, 3
accusation, 1
tumbling, 2
pounds, 1
andbutter, 1
shoulder, 4
dance, 13
remain, 1
expected, 1
voices, 2
everythings, 1
lazily, 1
Two, 6
MUST, 3
toss, 1
eye, 7
Soup, 13
himself, 6
wanted, 4
glaring, 1
deserved, 1
argued, 1
maybe, 1
another, 22
thistle, 2
permitted, 1
Pennyworth, 1
WOULD, 5
mournful, 1
jaws, 2
poison, 3
nest, 1
Suppress, 1
such, 40
